stash,stash_section,stash_item,lbproc,lblev,lbplev,blev,cmip6_short_name,mip_table,is_simple_mapping,n_stash_refs_in_expression,units,status,expression,source_file
m01s02i398,2,398,0,,,,reffclic,CF3hr,False,2,m,ok,0.5 * m01s02i398[lbproc=0] / m01s02i313[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i313,2,313,0,,,,reffclic,CF3hr,False,2,m,ok,0.5 * m01s02i398[lbproc=0] / m01s02i313[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i398,2,398,0,,,,reffclis,CF3hr,False,2,m,ok,0.5 * m01s02i398[lbproc=0] / m01s02i313[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i313,2,313,0,,,,reffclis,CF3hr,False,2,m,ok,0.5 * m01s02i398[lbproc=0] / m01s02i313[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i397,2,397,0,,,,reffclwc,CF3hr,False,2,m,ok,m01s02i397[lbproc=0] / m01s02i312[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i312,2,312,0,,,,reffclwc,CF3hr,False,2,m,ok,m01s02i397[lbproc=0] / m01s02i312[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i397,2,397,0,,,,reffclws,CF3hr,False,2,m,ok,m01s02i397[lbproc=0] / m01s02i312[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i312,2,312,0,,,,reffclws,CF3hr,False,2,m,ok,m01s02i397[lbproc=0] / m01s02i312[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i207,2,207,0,,,,rlds,CF3hr,True,1,W m-2,embargoed,m01s02i207[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i208,2,208,0,,,,rldscs,CF3hr,True,1,W m-2,embargoed,m01s02i208[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i207,2,207,0,,,,rlus,CF3hr,False,4,W m-2,embargoed,m01s02i207[lbproc=0]-m01s02i201[lbproc=0]+m01s03i332[lbproc=0]-m01s02i205[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i201,2,201,0,,,,rlus,CF3hr,False,4,W m-2,embargoed,m01s02i207[lbproc=0]-m01s02i201[lbproc=0]+m01s03i332[lbproc=0]-m01s02i205[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s03i332,3,332,0,,,,rlus,CF3hr,False,4,W m-2,embargoed,m01s02i207[lbproc=0]-m01s02i201[lbproc=0]+m01s03i332[lbproc=0]-m01s02i205[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i205,2,205,0,,,,rlus,CF3hr,False,4,W m-2,embargoed,m01s02i207[lbproc=0]-m01s02i201[lbproc=0]+m01s03i332[lbproc=0]-m01s02i205[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s03i332,3,332,0,,,,rlut,CF3hr,True,1,W m-2,embargoed,m01s03i332[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i206,2,206,0,,,,rlutcs,CF3hr,False,3,W m-2,embargoed,m01s02i206[lbproc=0]+m01s03i332[lbproc=0]-m01s02i205[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s03i332,3,332,0,,,,rlutcs,CF3hr,False,3,W m-2,embargoed,m01s02i206[lbproc=0]+m01s03i332[lbproc=0]-m01s02i205[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i205,2,205,0,,,,rlutcs,CF3hr,False,3,W m-2,embargoed,m01s02i206[lbproc=0]+m01s03i332[lbproc=0]-m01s02i205[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s01i235,1,235,0,,,,rsds,CF3hr,True,1,W m-2,embargoed,m01s01i235[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s01i210,1,210,0,,,,rsdscs,CF3hr,True,1,W m-2,embargoed,m01s01i210[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s01i207,1,207,0,,,,rsdt,CF3hr,True,1,W m-2,embargoed,m01s01i207[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s01i235,1,235,0,,,,rsus,CF3hr,False,2,W m-2,embargoed,m01s01i235[lbproc=0]-m01s01i201[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s01i201,1,201,0,,,,rsus,CF3hr,False,2,W m-2,embargoed,m01s01i235[lbproc=0]-m01s01i201[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s01i211,1,211,0,,,,rsuscs,CF3hr,True,1,W m-2,embargoed,m01s01i211[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s01i208,1,208,0,,,,rsut,CF3hr,True,1,W m-2,embargoed,m01s01i208[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s01i209,1,209,0,,,,rsutcs,CF3hr,True,1,W m-2,embargoed,m01s01i209[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s01i207,1,207,0,,,,rtmt,CF3hr,False,3,W m-2,embargoed,m01s01i207[lbproc=0]-m01s01i208[lbproc=0]-m01s03i332[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s01i208,1,208,0,,,,rtmt,CF3hr,False,3,W m-2,embargoed,m01s01i207[lbproc=0]-m01s01i208[lbproc=0]-m01s03i332[lbproc=0],HadGEM3_CF3hr_mappings.cfg
