stash,stash_section,stash_item,lbproc,lblev,lbplev,blev,cmip6_short_name,mip_table,is_simple_mapping,n_stash_refs_in_expression,units,status,expression,source_file
m01s03i230,3,230,8192,,,,sfcWindmax,APmon,True,1,m s-1,embargoed,mon_mean_from_day(m01s03i230[lbproc=8192]),HadGEM3_mappings.cfg
m01s34i996,34,996,128,1,,,sfno2,AERhr,True,1,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_NO2) * m01s34i996[lblev=1, lbproc=128]",HadGEM3_mappings.cfg
m01s34i996,34,996,128,1,,,sfno2,AE1hr,True,1,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_NO2) * m01s34i996[lblev=1, lbproc=128]",HadGEM3_mappings.cfg
m01s34i001,34,1,128,1,,,sfo3,AERhr,True,1,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s34i001[lblev=1, lbproc=128]",HadGEM3_mappings.cfg
m01s34i001,34,1,128,1,,,sfo3,AE1hr,True,1,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s34i001[lblev=1, lbproc=128]",HadGEM3_mappings.cfg
m01s34i001,34,1,8192,1,,,sfo3max,AERday,True,1,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s34i001[lblev=1, lbproc=8192]",HadGEM3_mappings.cfg
m01s34i001,34,1,8192,1,,,sfo3max,AEday,True,1,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s34i001[lblev=1, lbproc=8192]",HadGEM3_mappings.cfg
m01s03i317,3,317,,,,,sftgif,fx,True,1,%,embargoed,m01s03i317,HadGEM3_mappings.cfg
m01s03i317,3,317,,,,,sftgif,LPfx,True,1,%,embargoed,m01s03i317,HadGEM3_mappings.cfg
m01s00i505,0,505,,,,,sftlf,fx,True,1,1,ok,m01s00i505,HadGEM3_mappings.cfg
m01s00i505,0,505,,,,,sftlf,APfx,True,1,1,ok,m01s00i505,HadGEM3_mappings.cfg
m01s00i031,0,31,128,,,,siconca,SImon,True,1,1,ok,m01s00i031[lbproc=128],HadGEM3_mappings.cfg
m01s00i031,0,31,128,,,,siconca,SIday,True,1,1,ok,m01s00i031[lbproc=128],HadGEM3_mappings.cfg
